Paired_ID	Meta_ID	Sample_type	Sample_type_QC	Experimental_batch	Year	type_year
7135252601-1	X862	Cord blood	Samples	1	16	Cord blood_16
2464869726-1	X863	Cord blood	Samples	2	16	Cord blood_16
9349309578-1	X864	Cord blood	Samples	1	16	Cord blood_16
4109334910-1	X865	Cord blood	Samples	2	16	Cord blood_16
3576835265-1	X866	Cord blood	Samples	2	16	Cord blood_16
6484924404-1	X867	Cord blood	Samples	2	16	Cord blood_16
2766572308-1	X868	Cord blood	Samples	1	16	Cord blood_16
1799127451-1	X869	Cord blood	Samples	1	16	Cord blood_16
9281450258-1	X87	Maternal blood	Samples	1	15	Maternal blood_15
4998050949-1	X870	Cord blood	Samples	1	16	Cord blood_16
4164503474-1	X871	Cord blood	Samples	1	16	Cord blood_16
5735388028-1	X872	Cord blood	Samples	2	16	Cord blood_16
5352692853-1	X873	Cord blood	Samples	1	16	Cord blood_16
3632705134-1	X874	Cord blood	Samples	1	16	Cord blood_16
7375453304-1	X875	Cord blood	Samples	2	16	Cord blood_16
805801991-1	X876	Cord blood	Samples	1	16	Cord blood_16
1779859835-1	X877	Cord blood	Samples	2	16	Cord blood_16
9593091266-1	X878	Cord blood	Samples	2	16	Cord blood_16
4435496248-1	X879	Cord blood	Samples	1	16	Cord blood_16
2712887550-1	X88	Maternal blood	Samples	1	15	Maternal blood_15
6025270617-1	X880	Cord blood	Samples	2	16	Cord blood_16
3652300137-1	X881	Cord blood	Samples	2	16	Cord blood_16
6983974583-1	X882	Cord blood	Samples	2	16	Cord blood_16
5465114030-1	X883	Cord blood	Samples	2	16	Cord blood_16
3132280187-1	X884	Cord blood	Samples	2	16	Cord blood_16
2788467473-1	X885	Cord blood	Samples	1	16	Cord blood_16
8140262792-1	X886	Cord blood	Samples	1	16	Cord blood_16
9470367077-1	X887	Cord blood	Samples	1	16	Cord blood_16
128470212-1	X888	Cord blood	Samples	2	16	Cord blood_16
9320519426-1	X889	Cord blood	Samples	2	16	Cord blood_16
5143030190-1	X89	Maternal blood	Samples	1	15	Maternal blood_15
6269716860-1	X890	Cord blood	Samples	1	16	Cord blood_16
4276485459-1	X891	Cord blood	Samples	2	16	Cord blood_16
6811108280-1	X892	Cord blood	Samples	2	16	Cord blood_16
8717468454-1	X893	Cord blood	Samples	2	16	Cord blood_16
6927363400-1	X894	Cord blood	Samples	1	16	Cord blood_16
4561369276-1	X895	Cord blood	Samples	2	16	Cord blood_16
7585967945-1	X896	Cord blood	Samples	2	16	Cord blood_16
6510356919-1	X897	Cord blood	Samples	1	16	Cord blood_16
8874743142-1	X898	Cord blood	Samples	2	16	Cord blood_16
3382606126-1	X899	Cord blood	Samples	1	16	Cord blood_16
3822663828-1	X9	Maternal blood	Samples	2	15	Maternal blood_15
9260815479-2	X90	Maternal blood	Samples	1	15	Maternal blood_15
2939546519-1	X900	Cord blood	Samples	1	16	Cord blood_16
5108216491-1	X901	Cord blood	Samples	1	16	Cord blood_16
2391926628-1	X902	Cord blood	Samples	2	16	Cord blood_16
3308233908-1	X903	Cord blood	Samples	1	16	Cord blood_16
5046751128-1	X904	Cord blood	Samples	2	16	Cord blood_16
287087783-1	X905	Cord blood	Samples	1	16	Cord blood_16
7685823500-1	X906	Cord blood	Samples	1	16	Cord blood_16
5342294781-1	X907	Cord blood	Samples	2	16	Cord blood_16
684663085-1	X908	Cord blood	Samples	1	16	Cord blood_16
7959535069-1	X909	Cord blood	Samples	2	16	Cord blood_16
1406675326-1	X91	Maternal blood	Samples	2	15	Maternal blood_15
9547613817-1	X910	Cord blood	Samples	2	16	Cord blood_16
4335424105-1	X911	Cord blood	Samples	1	16	Cord blood_16
1586585460-1	X912	Cord blood	Samples	1	16	Cord blood_16
3391035880-1	X913	Cord blood	Samples	1	16	Cord blood_16
9079419215-1	X914	Cord blood	Samples	2	16	Cord blood_16
7676842784-1	X915	Cord blood	Samples	2	16	Cord blood_16
2775820201-1	X916	Cord blood	Samples	1	16	Cord blood_16
2891409761-1	X917	Cord blood	Samples	1	16	Cord blood_16
4381259425-1	X918	Cord blood	Samples	2	16	Cord blood_16
3867246668-1	X919	Cord blood	Samples	2	16	Cord blood_16
3933338077-1	X92	Maternal blood	Samples	2	15	Maternal blood_15
5468462237-1	X920	Cord blood	Samples	2	16	Cord blood_16
7524756471-1	X921	Cord blood	Samples	2	16	Cord blood_16
2183217016-1	X922	Cord blood	Samples	1	16	Cord blood_16
1284947754-1	X923	Cord blood	Samples	2	16	Cord blood_16
4358753494-1	X924	Cord blood	Samples	1	16	Cord blood_16
8623526901-1	X925	Cord blood	Samples	1	16	Cord blood_16
2311848831-1	X926	Cord blood	Samples	2	16	Cord blood_16
1216706941-1	X927	Cord blood	Samples	2	16	Cord blood_16
4144327526-1	X928	Cord blood	Samples	1	16	Cord blood_16
3477529936-1	X929	Cord blood	Samples	1	16	Cord blood_16
5854520018-1	X93	Maternal blood	Samples	1	15	Maternal blood_15
4047256607-1	X930	Cord blood	Samples	2	16	Cord blood_16
7670503639-1	X931	Cord blood	Samples	2	16	Cord blood_16
9470877228-1	X932	Cord blood	Samples	2	16	Cord blood_16
1225750037-1	X933	Cord blood	Samples	2	16	Cord blood_16
8829365833-1	X934	Cord blood	Samples	1	16	Cord blood_16
4027732691-1	X935	Cord blood	Samples	1	16	Cord blood_16
7106787519-1	X936	Cord blood	Samples	2	16	Cord blood_16
4900827344-1	X937	Cord blood	Samples	2	16	Cord blood_16
2320340383-1	X938	Cord blood	Samples	1	16	Cord blood_16
9444637126-1	X939	Cord blood	Samples	1	16	Cord blood_16
9151849941-1	X94	Maternal blood	Samples	2	15	Maternal blood_15
7779996328-1	X940	Cord blood	Samples	2	16	Cord blood_16
9016681224-1	X941	Cord blood	Samples	2	16	Cord blood_16
4648530862-1	X942	Cord blood	Samples	1	16	Cord blood_16
6328637449-1	X943	Cord blood	Samples	2	16	Cord blood_16
2601001436-1	X944	Cord blood	Samples	2	16	Cord blood_16
8037037997-1	X945	Cord blood	Samples	1	16	Cord blood_16
4273428360-1	X946	Cord blood	Samples	1	16	Cord blood_16
3434027295-1	X947	Cord blood	Samples	2	16	Cord blood_16
5855052231-1	X948	Cord blood	Samples	2	16	Cord blood_16
9047965788-1	X949	Cord blood	Samples	2	16	Cord blood_16
6287367374-1	X95	Maternal blood	Samples	2	15	Maternal blood_15
7461756489-1	X950	Cord blood	Samples	1	16	Cord blood_16
8960107587-1	X951	Cord blood	Samples	2	16	Cord blood_16
3865694084-1	X952	Cord blood	Samples	1	16	Cord blood_16
9708535573-1	X953	Cord blood	Samples	2	16	Cord blood_16
6502698285-1	X954	Cord blood	Samples	2	16	Cord blood_16
4337662032-1	X955	Cord blood	Samples	2	16	Cord blood_16
4405439754-1	X956	Cord blood	Samples	2	16	Cord blood_16
8657553064-1	X957	Cord blood	Samples	1	16	Cord blood_16
8133937766-1	X958	Cord blood	Samples	1	16	Cord blood_16
7634811716-1	X959	Cord blood	Samples	2	16	Cord blood_16
8121291491-1	X96	Maternal blood	Samples	2	15	Maternal blood_15
7693258709-1	X960	Cord blood	Samples	2	16	Cord blood_16
5705671550-1	X961	Cord blood	Samples	1	16	Cord blood_16
