Paired_ID	Meta_ID	Sample_type	Sample_type_QC	Experimental_batch	Year	type_year
7135252601-1	X153	Maternal blood	Samples	2	15	Maternal blood_15
2990744823-1	X154	Maternal blood	Samples	2	15	Maternal blood_15
7375453304-1	X155	Maternal blood	Samples	2	15	Maternal blood_15
1797139920-1	X156	Maternal blood	Samples	2	15	Maternal blood_15
9349309578-1	X157	Maternal blood	Samples	2	15	Maternal blood_15
128470212-1	X158	Maternal blood	Samples	2	15	Maternal blood_15
3382606126-1	X159	Maternal blood	Samples	2	15	Maternal blood_15
1252173735-1	X16	Maternal blood	Samples	1	15	Maternal blood_15
3652300137-1	X160	Maternal blood	Samples	1	15	Maternal blood_15
7959535069-1	X161	Maternal blood	Samples	1	15	Maternal blood_15
6510356919-1	X162	Maternal blood	Samples	2	15	Maternal blood_15
8874743142-1	X163	Maternal blood	Samples	1	15	Maternal blood_15
2464869726-1	X164	Maternal blood	Samples	2	15	Maternal blood_15
3626239050-1	X165	Maternal blood	Samples	1	15	Maternal blood_15
5465114030-1	X166	Maternal blood	Samples	2	15	Maternal blood_15
5174358624-1	X167	Maternal blood	Samples	2	15	Maternal blood_15
287087783-1	X168	Maternal blood	Samples	2	15	Maternal blood_15
8140262792-1	X169	Maternal blood	Samples	2	15	Maternal blood_15
9798387810-1	X17	Maternal blood	Samples	2	15	Maternal blood_15
6890530510-1	X170	Maternal blood	Samples	2	15	Maternal blood_15
